Image,Name,Description,Difficulty,Time
https://origami-database.com/wp-content/uploads/DSC03453-export-900x900.jpg,Intellect Devourer,"Brain on four legs, each having three digits.",Intermediate,1 hr. 11 min.
https://origami-database.com/wp-content/uploads/DSC03448-export-900x900.jpg,Displacer beast,Six-legged catlike creature with two large tentacles sprouting from its back.,Hard,2 hr. 40 min.
https://origami-database.com/wp-content/uploads/DSC03451-export-900x900.jpg,Heart with bow,Heart symbol with reverse-colored bow on top.,Easy,9 min.
https://origami-database.com/wp-content/uploads/DSC03429-export-900x900.jpg,Staff,Abstract staff topped with a reverse-colored tip.,Moderate,13 min.
https://origami-database.com/wp-content/uploads/DSC03438-export-900x900.jpg,The Flying Carpet,Airplane that can be thrown.,Easy,4 min.
https://origami-database.com/wp-content/uploads/DSC03427-export-900x900.jpg,Carp banner,Abstract fish with open mouth and two pectoral fins.,Easy,7 min.
https://origami-database.com/wp-content/uploads/DSC03433-export-900x900.jpg,The Glider,Airplane that can be thrown.,Easy,4 min.
https://origami-database.com/wp-content/uploads/DSC03431-export-900x900.jpg,Sword,Abstract sword with reverse-colored blade and upward crossguard.,Moderate,11 min.
https://origami-database.com/wp-content/uploads/DSC03424-export-900x900.jpg,Tiger,Abstract tiger with reverse-colored stripes and nose.,Intermediate,51 min.
https://origami-database.com/wp-content/uploads/DSC03422-export-900x900.jpg,Mammoth,Abstract mammoth model with large reverse-colored thusks.,Intermediate,38 min.
https://origami-database.com/wp-content/uploads/DSC03420-export-900x900.jpg,Rhinoceros,Abstract rhino with distinctive head and large horn.,Moderate,27 min.
https://origami-database.com/wp-content/uploads/DSC03415-export-900x900.jpg,Merino Sheep,Sheep with horns and reverse-colored head.,Moderate,22 min.
https://origami-database.com/wp-content/uploads/DSC03383-export-900x900.jpg,Baby Gorilla,Standing ape model with distinctive head and pose.,Moderate,22 min.
https://origami-database.com/wp-content/uploads/DSC03405-export-900x900.jpg,Phantom,Large conch shell with reverse-colored wave coming out of it featuring a small boat.,Complex,4 hr. 35 min.
https://origami-database.com/wp-content/uploads/DSC03389-export-900x900.jpg,Tonosama grasshopper,"Grasshopper with six independent legs, two antennae and distinctive shape.",Intermediate,1 hr. 5 min.
https://origami-database.com/wp-content/uploads/DSC03392-export-900x900.jpg,Ax,Simple axe with reverse-colored blade.,Moderate,9 min.
https://origami-database.com/wp-content/uploads/DSC03385-export-900x900.jpg,Giant Tortoise,Standing tortoise with large shield and raised head.,Intermediate,44 min.
https://origami-database.com/wp-content/uploads/DSC03371-export-900x900.jpg,Sea Turtle,Three-dimentional turtle with distinctive flippers.,Moderate,18 min.
https://origami-database.com/wp-content/uploads/DSC03379-export-900x900.jpg,Singer,Cowled humanoid figure with a book in one hand.,Moderate,40 min.
https://origami-database.com/wp-content/uploads/DSC03381-export-900x900.jpg,Velociraptor,"Bipedal dinosaur model with reverse-colored head, feet and arm feathers.",Intermediate,1 hr. 3 min.
https://origami-database.com/wp-content/uploads/DSC03332-export-900x900.jpg,Skull Coin,Octogonal flat model with a reverse-colored skull symbol.,Intermediate,24 min.
https://origami-database.com/wp-content/uploads/DSC03329-export-900x900.jpg,Deer,Standing deer featuring antlers with six points.,Intermediate,55 min.
https://origami-database.com/wp-content/uploads/DSC03328-export-900x900.jpg,Lady,Winged female figure with long skirt.,Hard,2 hr. 24 min.
https://origami-database.com/wp-content/uploads/DSC03320-export-900x900.jpg,Fish,"Abstract fish model with open mouth and large, reverse-colored eye.",Intermediate,29 min.
https://origami-database.com/wp-content/uploads/DSC03312-export-900x900.jpg,Ammonite,Segmented shell with four reverse-colored tentacles.,Moderate,29 min.
https://origami-database.com/wp-content/uploads/DSC03309-export-900x900.jpg,Dandelion,Flower on stem with reverse-colored petals.,Moderate,25 min.
https://origami-database.com/wp-content/uploads/DSC03315-export-900x900.jpg,Raccoon,"Sitting racoon with distinctive reverse-colored snout, ears and bands on its tail.",Intermediate,41 min.
https://origami-database.com/wp-content/uploads/DSC03306-export-900x900.jpg,Velociraptor,Standing bipedal dinosaur with long tail and open mouth.,Moderate,27 min.
https://origami-database.com/wp-content/uploads/DSC03301-export-900x900.jpg,Hedgehog,"Standing hedgehog with reverse-colored head and feet, including a segmented back featuring quill-like motif.",Intermediate,50 min.
https://origami-database.com/wp-content/uploads/DSC03292-export-900x900.jpg,Crab,Eight-legged crab with two large claws.,Intermediate,35 min.
https://origami-database.com/wp-content/uploads/DSC03290-export-900x900.jpg,Zebra,"Standing zebra with reverse-colored nose, mane, tail and three stripes on its back.",Intermediate,40 min.
https://origami-database.com/wp-content/uploads/DSC03297-export-900x900.jpg,Clownfish,Fish with reverse-colored stripes.,Intermediate,38 min.
https://origami-database.com/wp-content/uploads/DSC03282-export-900x900.jpg,Toad/frog,"Sitting frog (or toad) model with reverse-colored eyes and jaw, featuring three digits on its front toes.",Intermediate,54 min.
https://origami-database.com/wp-content/uploads/DSC03287-export-900x900.jpg,Unicorn,Standing unicorn with large head and twisted horn.,Intermediate,57 min.
https://origami-database.com/wp-content/uploads/DSC03193-export-900x900.jpg,Satyr,Standing goat-like humanoid with reverse-colored horns.,Hard,1 hr. 18 min.
https://origami-database.com/wp-content/uploads/DSC03255-export-900x900.jpg,Ancient Dragon,"Dragon with eight large spikes on its head, large wings, segmented tail and four talons with four digits each.",Complex,9 hr. 50 min.
https://origami-database.com/wp-content/uploads/DSC03166-export-900x900.jpg,Bear with salmon,Abstract sitting bear holding a reverse-colored fish in its arms.,Moderate,33 min.
https://origami-database.com/wp-content/uploads/DSC03173-export-900x900.jpg,Lantern,Traditional lantern with octagonal-shaped inside.,Easy,3 min.
https://origami-database.com/wp-content/uploads/DSC03174-export-900x900.jpg,Lantern,Traditional lantern with pointed sides.,Easy,3 min.
https://origami-database.com/wp-content/uploads/DSC03165-export-900x900.jpg,Giant Squid,Cephalopod with two large and eight smaller tentacles and distinctive fin.,Intermediate,1 hr. 38 min.
https://origami-database.com/wp-content/uploads/DSC03161-export-900x900.jpg,Cuttlefish,"Three-dimentional cuttlefish with reverse-colored eye and underside, featuring eight tentacles.",Intermediate,40 min.
https://origami-database.com/wp-content/uploads/DSC03149-export-900x900.jpg,Axolotl,Amphibian with reverse-colored external gills.,Moderate,25 min.
https://origami-database.com/wp-content/uploads/DSC03153-export-900x900.jpg,Sphinx,Sitting lion-like creature with abstract face.,Intermediate,1 hr. 28 min.
https://origami-database.com/wp-content/uploads/DSC03147-export-900x900.jpg,Yin Yang Crane,"Traditional crane with one side of the model reverse-colored, with a dot on each wing in the inverted color.",Moderate,18 min.
https://origami-database.com/wp-content/uploads/DSC03157-export-900x900.jpg,Rowlet,Sitting owl-like Pokémon with round body.,Moderate,27 min.
https://origami-database.com/wp-content/uploads/DSC03143-export-900x900.jpg,Lambeosaurus,Quadrupedal dinosaur with distinctive cranial crest.,Intermediate,30 min.
https://origami-database.com/wp-content/uploads/DSC03151-export-2-900x900.jpg,Dog,"Sitting dog with reverse-colored front paws, breast and cheeks.",Moderate,22 min.
https://origami-database.com/wp-content/uploads/DSC03141-export-900x900.jpg,Tree Sunset,"Silhouette of tree trunk and branches, against a reverse-colored background with radial lines.",Moderate,28 min.
https://origami-database.com/wp-content/uploads/DSC03137-export-900x900.jpg,Mephistopheles,"Standing humanoid devil with horned head, large wings and forked tail.",Hard,3 hr. 29 min.
https://origami-database.com/wp-content/uploads/DSC03125-export-900x900.jpg,Frog,Amphibian with distinctive legs and hands and feet ending in three digits.,Intermediate,1 hr. 14 min.
https://origami-database.com/wp-content/uploads/DSC03133-export-900x900.jpg,Centaur,"Creature with muscled, reverse-colored upper body of a humanoid and lower body of a horse.",Intermediate,1 hr. 30 min.
https://origami-database.com/wp-content/uploads/DSC03122-export-900x900.jpg,Butterfly,Winged insect with six legs and short antennae.,Hard,45 min.
https://origami-database.com/wp-content/uploads/DSC03118-export-900x900.jpg,Wizard,"Humanoid figure with arms stretched, wearing a robe and pointy hat.",Hard,1 hr. 33 min.
https://origami-database.com/wp-content/uploads/DSC03115-export-900x900.jpg,Lean-To,Shelter with sloped roof and single opening.,Intermediate,26 min.
https://origami-database.com/wp-content/uploads/DSC03111-export-900x900.jpg,Narwhal,"Whale with long, curved reverse-colored thusk.",Moderate,26 min.
https://origami-database.com/wp-content/uploads/DSC03114-export-900x900.jpg,Lizard,Lizard with arms and legs with three digits.,Hard,1 hr. 24 min.
https://origami-database.com/wp-content/uploads/DSC03109-export-900x900.jpg,Cerberus,Three-headed dog with curved tail and thin legs.,Intermediate,43 min.
https://origami-database.com/wp-content/uploads/DSC03106-export-900x900.jpg,Piranha Fish,"Stylized, flat piranha fish.",Intermediate,17 min.
https://origami-database.com/wp-content/uploads/DSC03102-export-900x900.jpg,Fire breathing dragon,"Standing, bulky dragon with small wings that breaths fire from its maw.",Moderate,50 min.
https://origami-database.com/wp-content/uploads/DSC03107-export-900x900.jpg,You Are Always In My Heart,Hearth symbol within a reverse-colored heart symbol.,Moderate,14 min.
https://origami-database.com/wp-content/uploads/DSC03092-export-900x900.jpg,Scarecrow (Edward Bird-hands),Standing humanoid with birds for hands.,Intermediate,1 hr. 2 min.
https://origami-database.com/wp-content/uploads/DSC03099-export-900x900.jpg,Kitty,Sitting abstract cat model.,Moderate,11 min.
https://origami-database.com/wp-content/uploads/DSC03098-export-900x900.jpg,Crocodile,Reptile with reverse-colored teeth and eyes.,Intermediate,28 min.
https://origami-database.com/wp-content/uploads/DSC03091-export-900x900.jpg,Sailfish,"Model with long bill, large dorsal fin and reverse-colored underside.",Moderate,28 min.
https://origami-database.com/wp-content/uploads/DSC03094-export-900x900.jpg,Long Legged Crane,"Bird on spindly, reverse-colored legs.",Intermediate,24 min.
https://origami-database.com/wp-content/uploads/DSC03082-export-900x900.jpg,Tetrahedron,Triangular pyramid composed of four faces.,Moderate,7 min.
https://origami-database.com/wp-content/uploads/DSC03088-export-900x900.jpg,Diamond,Radial-shaped diamond with eight sides.,Moderate,14 min.
https://origami-database.com/wp-content/uploads/DSC03086-export-900x900.jpg,Cube,Six-faced model.,Moderate,6 min.
https://origami-database.com/wp-content/uploads/DSC03084-export-900x900.jpg,Hexahedron,Six-faced shape.,Moderate,8 min.
https://origami-database.com/wp-content/uploads/DSC03079-export-900x900.jpg,Pyramid,Square pyramid model.,Moderate,8 min.
https://origami-database.com/wp-content/uploads/DSC03076-export-900x900.jpg,Stegosaurus,Abstract dinosaur model with distinctive plates and tail.,Moderate,27 min.
https://origami-database.com/wp-content/uploads/DSC03065-export-900x900.jpg,Octahedron One,Eight-sided shape.,Moderate,10 min.
https://origami-database.com/wp-content/uploads/DSC03069-export-900x900.jpg,Octahedron Two,Asymmetrical eight-faced shape with indented bottom.,Intermediate,18 min.
https://origami-database.com/wp-content/uploads/DSC03063-export-1-900x900.jpg,DNA Wheel,Circular wheel-like model created by flattening a DNA-like structure.,Moderate,16 min.
https://origami-database.com/wp-content/uploads/DSC03061-export-900x900.jpg,Vel’Koz,Floating creature with single large eye and three tentacles.,Moderate,19 min.
https://origami-database.com/wp-content/uploads/DSC03073-export-900x900.jpg,Sunken Pyramid,Three-sided pyramid with sunken tip.,Moderate,8 min.
https://origami-database.com/wp-content/uploads/DSC03054-export-900x900.jpg,Helmet,Pointed Corinthian helmet with open backside.,Moderate,21 min.
https://origami-database.com/wp-content/uploads/DSC03190-export-900x900.jpg,Five-Banded Armadillo,Armadillo with large segmented shell and feet ending in three toes.,Intermediate,1 hr. 50 min.
https://origami-database.com/wp-content/uploads/DSC03056-export-900x900.jpg,Oriental Dragon,"Wingless, flying dragon with hollow body and pronounced head.",Intermediate,2 hr. 5 min.
https://origami-database.com/wp-content/uploads/DSC03049-export-900x900.jpg,Thanksgiving Turkey,Abstract roasted turkey with distinctive arms and legs.,Intermediate,10 min.
https://origami-database.com/wp-content/uploads/DSC03043-export-900x900.jpg,Beetle,Rhinoceros beetle with six segmented legs and distinctive horn.,Intermediate,47 min.
https://origami-database.com/wp-content/uploads/DSC03042-export-900x900.jpg,Demon,Standing demon with two small wings and cloven feet.,Intermediate,42 min.
https://origami-database.com/wp-content/uploads/DSC03034-export-900x900.jpg,Ouroboros,"Three-dimentional winged snake with large dragon-like wings, curved in a circle.",Intermediate,2 hr. 24 min.
https://origami-database.com/wp-content/uploads/DSC0297-export-900x900.jpg,Medusa,Woman with serpentine lower body and hair made of eight snakes.,Intermediate,2 hr. 48 min.
https://origami-database.com/wp-content/uploads/DSC02968-export-900x900.jpg,Sprout,Two leaves on a stem in a reverse-colored pot.,Intermediate,33 min.
https://origami-database.com/wp-content/uploads/DSC02963-export-900x900.jpg,Griffin,"Distinctive half-lion, half-eagle with claws with three digits.",Intermediate,1 hr. 5 min.
https://origami-database.com/wp-content/uploads/DSC02953-export-900x900.jpg,Christmas Angel,Abstract humanoid creature with wings and arms folded behind its back.,Easy,9 min.
https://origami-database.com/wp-content/uploads/DSC02954-export-900x900.jpg,Flying Serpent,"Winged snake with open mouth, long tail and two claws.",Intermediate,35 min.
https://origami-database.com/wp-content/uploads/DSC02936-export-900x900.jpg,Sagittarius,"Bulky, abstract centaur model.",Moderate,26 min.
https://origami-database.com/wp-content/uploads/DSC02943-export-900x900.jpg,Suit of Armor,"Standing armor with pauldrons, pointed helmet and distinctive knee pads.",Moderate,22 min.
https://origami-database.com/wp-content/uploads/DSC02945-export-900x900.jpg,Igor,Hunch-backed humanoid figure.,Moderate,14 min.
https://origami-database.com/wp-content/uploads/DSC02940-export-900x900.jpg,Bat,Abstract bat model with feet and distinctive ears.,Easy,11 min.
https://origami-database.com/wp-content/uploads/DSC02930-export-900x900.jpg,Ghost,Abstract ghost with reverse-colored eyes and mouth.,Moderate,10 min.
https://origami-database.com/wp-content/uploads/DSC02932-export-900x900.jpg,Pumpkin,Abstract pumpkin model with eight segments and a reverse-colored stem.,Moderate,10 min.
https://origami-database.com/wp-content/uploads/DSC02880-export-900x900.jpg,Crow,Bird model with four digits on each talon.,Intermediate,48 min.
https://origami-database.com/wp-content/uploads/DSC02875-export-900x900.jpg,Inchworm,Crawling catepillar model with curved body.,Moderate,26 min.
https://origami-database.com/wp-content/uploads/DSC02876-export-900x900.jpg,Mouse,Sitting mouse model.,Moderate,14 min.
https://origami-database.com/wp-content/uploads/DSC02878-export-900x900.jpg,Adirondack Chair,Chair with wide armrests and large backrest.,Moderate,21 min.
https://origami-database.com/wp-content/uploads/DSC02827-export-900x900.jpg,Cat,"Sitting cat with three-dimentional head and reverse-colored snout, legs and underside.",Intermediate,1 hr. 3 min.
https://origami-database.com/wp-content/uploads/DSC02779-export-900x900.jpg,Red Wyvern,Wyvern with a horned head and talons with three digits.,Intermediate,1 hr. 40 min.
https://origami-database.com/wp-content/uploads/DSC02664-export-900x900.jpg,Styracosaurus,Dinsoaur with six spikes on its neck frill and a single horn on its nose.,Intermediate,55 min.
https://origami-database.com/wp-content/uploads/DSC02663-export-900x900.jpg,Octopus,Abstract eight-legged bulbous octopus model.,Moderate,26 min.
https://origami-database.com/wp-content/uploads/DSC02658-export-900x900.jpg,Common Loon,"Aquatic bird model with reverse-colored lower sides, breast and neck.",Moderate,16 min.
https://origami-database.com/wp-content/uploads/DSC02661-export-900x900.jpg,Foxy fox,Standing fox model with reverse-colored tail and inner ears.,Moderate,24 min.
https://origami-database.com/wp-content/uploads/DSC02659-export-900x900.jpg,Elephant Seal,"Sitting male elephant seal with distinctive nose, leaning back.",Moderate,26 min.
https://origami-database.com/wp-content/uploads/DSC02662-export-900x900.jpg,Chicken,"Abstract chicken with reverse-colored comb, two independent wings and a single foot.",Easy,6 min.
https://origami-database.com/wp-content/uploads/DSC02616-export-900x745.jpg,Jumping Cricket,Cricket with four distinct legs and hind legs pressed against its body that can be made to jump.,Moderate,24 min.
https://origami-database.com/wp-content/uploads/DSC02652-export-900x900.jpg,Sailing Boat,Three-dimentional ship with two reverse-colored sails.,Moderate,18 min.
https://origami-database.com/wp-content/uploads/DSC02643-export-900x900.jpg,Treasure Chest,Rectangular trunk with curved lid.,Moderate,38 min.
https://origami-database.com/wp-content/uploads/DSC02649-export-900x900.jpg,Emperor penguin,Standing penguin with reverse-colored belly.,Moderate,19 min.
https://origami-database.com/wp-content/uploads/DSC02623-export-900x900.jpg,Fish skeleton,Abstract fish bone model with distinctive ribs.,Moderate,8 min.
https://origami-database.com/wp-content/uploads/DSC02630-export-900x900.jpg,Stegosaurus,"Standing dinosaur with large body, 8 plates on its back and a four-spiked thagomizer.",Intermediate,1 hr. 35 min.
https://origami-database.com/wp-content/uploads/DSC02655-export-900x900.jpg,Tapejara,Flying dinosaur with large wings and large crest on its head.,Intermediate,1 hr.
https://origami-database.com/wp-content/uploads/DSC02624-export-900x900.jpg,Snail chopstick rest,Simple snail model with eyestalks and coiled shell.,Easy,7 min.
https://origami-database.com/wp-content/uploads/DSC02620-export-900x900.jpg,Ankylosaurus,Standing ankylosaurus with distinctive spikes at its sides.,Intermediate,1 hr. 20 min.
https://origami-database.com/wp-content/uploads/DSC02612-export-900x900.jpg,Praying Mantis,"Insect standing on four legs, with two distinctive raptorial front legs.",Intermediate,48 min.
https://origami-database.com/wp-content/uploads/DSC02636-export-900x900.jpg,Dimetrodon,Quadruped model with reverse-colored sail and eyes.,Intermediate,1 hr. 35 min.
https://origami-database.com/wp-content/uploads/DSC02634-export-900x900.jpg,The Shadow of Dragon,Nearly flat dragon shape on a reverse-colored diamond.,Intermediate,53 min.
https://origami-database.com/wp-content/uploads/DSC02602-export-900x900.jpg,Goat,Standing goat with distinctive eyes and two horns.,Intermediate,47 min.
https://origami-database.com/wp-content/uploads/DSC02639-export-900x900.jpg,Winged Sonobe (icosahedron),"Modular, winged polyhedron model folded from 30 sheets.",Intermediate,2 hr. 4 min.
https://origami-database.com/wp-content/uploads/DSC02610-export-900x900.jpg,Winged Sonobe (star tetrahedron),Stellated octahedron model made from winged Sonobe modules.,Intermediate,1 hr.
https://origami-database.com/wp-content/uploads/DSC02605-export-900x900.jpg,Fox 2015,Standing fox with distinctive face and reverse-colored tail tip.,Intermediate,38 min.
https://origami-database.com/wp-content/uploads/DSC02603-export-900x900.jpg,Rooster,"Rooster with reverse-colored wattle, comb and legs.",Intermediate,45 min.
https://origami-database.com/wp-content/uploads/DSC02591-export-900x900.jpg,Bactrian Camel,Abstract standing camel model with two humps.,Intermediate,35 min.
https://origami-database.com/wp-content/uploads/DSC02597-export-900x900.jpg,Flying squirrel,"Nearly flat squirrel model, with a head that features a nose, ears and eyes.",Intermediate,52 min.
https://origami-database.com/wp-content/uploads/DSC02588-export-900x900.jpg,Tulip and Stem,Four-petalled flower with large stigma on a stem with a single leaf.,Moderate,8 min.
https://origami-database.com/wp-content/uploads/DSC02580-export-900x900.jpg,Penguin,Traditional penguin model with single foot.,Easy,7 min.
https://origami-database.com/wp-content/uploads/DSC02584-export-900x900.jpg,Masu box and Insert,Square container with four separate compartments.,Moderate,15 min.
https://origami-database.com/wp-content/uploads/DSC02572-export-900x900.jpg,Ship,Hollow boat model with two decks.,Moderate,16 min.
https://origami-database.com/wp-content/uploads/DSC02586-export-900x900.jpg,Fancy Goldfish,Simple fish model with hanging tail fin.,Easy,7 min.
https://origami-database.com/wp-content/uploads/DSC02578-export-900x900.jpg,Seal,Traditional abstract seal model with two front flippers.,Easy,5 min.
https://origami-database.com/wp-content/uploads/DSC02570-export-900x900.jpg,Bride,Boxy bride with long veil.,Moderate,23 min.
https://origami-database.com/wp-content/uploads/DSC02567-export-900x900.jpg,Groom,Boxy groom with spikey hair and reverse-colored face and undershirt.,Moderate,21 min.
https://origami-database.com/wp-content/uploads/DSC02557-export-900x900.jpg,Dress ver.1,Flat dress model with wide skirt.,Moderate,11 min.
https://origami-database.com/wp-content/uploads/DSC02554-export-900x900.jpg,Bicycle,Bicycle with distinctive frame and reverse-colored wheels.,Hard,3 hr. 5 min.
https://origami-database.com/wp-content/uploads/DSC02549-export-900x900.jpg,Human Figure,Standing humanoid figure with reverse-colored face.,Moderate,14 min.
https://origami-database.com/wp-content/uploads/DSC02520-export-900x900.jpg,Frying Pan,Square skillet model.,Moderate,8 min.
https://origami-database.com/wp-content/uploads/DSC02523-export-900x900.jpg,Ornament,Ornament made from six sheets.,Moderate,10 min.
https://origami-database.com/wp-content/uploads/DSC02504-export-900x900.jpg,Leaf & snail,Reverse-colored snail on a leaf from a single sheet.,Moderate,15 min.
https://origami-database.com/wp-content/uploads/DSC02503-export-900x900.jpg,Troll,Bulky creature with large arms.,Moderate,11 min.
https://origami-database.com/wp-content/uploads/DSC02509-export-900x900.jpg,Flower with stem,Simple plant stem with reverse-colored flower and two leaves.,Moderate,9 min.
https://origami-database.com/wp-content/uploads/DSC02511-export-900x900.jpg,Waterbomb,"A simple, three-dimentional box.",Easy,6 min.
https://origami-database.com/wp-content/uploads/DSC02515-export-900x900.jpg,Camel,Standing dromedary model with reverse-colored eye.,Intermediate,55 min.
https://origami-database.com/wp-content/uploads/DSC02496-export-900x900.jpg,Unicorn,"Rearing unicorn with reverse-colored horn, mane and tail.",Intermediate,50 min.
https://origami-database.com/wp-content/uploads/DSC02497-export2-900x900.jpg,Old man,Humanoid creature with large claws and a reverse-colored crane on its chest.,Intermediate,1 hr. 4 min.
https://origami-database.com/wp-content/uploads/DSC02479-export-900x900.jpg,Sailboat,Abstract boat with two reverse-colored sails.,Easy,3 min.
https://origami-database.com/wp-content/uploads/DSC02967-export-900x900.jpg,Dinosaur,Standing dinosaur with claws and reverse-colored underside and jaw.,Complex,2 hr. 30 min.
https://origami-database.com/wp-content/uploads/DSC02481-export-900x900.jpg,Dinosaur,Simple bipedal dinosaur model.,Moderate,5 min.
https://origami-database.com/wp-content/uploads/DSC02469-export-900x900.jpg,Ponyta,Fiery horse Pokémon model with reverse-colored mane and tail.,Intermediate,37 min.
https://origami-database.com/wp-content/uploads/DSC02454-export-900x900.jpg,Vulpix,Standing six-tailed fox with distinctive curls on its head.,Intermediate,46 min.
https://origami-database.com/wp-content/uploads/DSC02463-export-900x900.jpg,Zapdos,Lightning bird with reverse-colored beak.,Intermediate,52 min.
https://origami-database.com/wp-content/uploads/DSC02473-export-900x900.jpg,Firebender,Model of a kneeling humanoid figure creating flames.,Moderate,15 min.
https://origami-database.com/wp-content/uploads/DSC02467-export-900x900.jpg,Crested Kingfisher,Bird with crest on its head and reverse-colored breast.,Moderate,17 min.
https://origami-database.com/wp-content/uploads/DSC02488-export-900x900.jpg,Crow,Standing crow with four digits on each talon.,Hard,1 hr. 50 min.
https://origami-database.com/wp-content/uploads/DSC02459-export-900x900.jpg,Tent,Tent with open flaps on the front.,Easy,8 min.
https://origami-database.com/wp-content/uploads/DSC02460-export-900x900.jpg,Monkey,Sitting monkey with reverse-colored face.,Intermediate,20 min.
https://origami-database.com/wp-content/uploads/DSC02278-export-900x900.jpg,Shark,Shark model with open mouth.,Moderate,12 min.
https://origami-database.com/wp-content/uploads/DSC02268-export-900x900.jpg,Turtle,Abstract turtle model.,Moderate,6 min.
https://origami-database.com/wp-content/uploads/DSC02471-export2-900x900.jpg,Spinosaurus,Dinosaur model with large sail and open mouth.,Intermediate,17 min.
https://origami-database.com/wp-content/uploads/DSC02265-export-900x900.jpg,Dolphin,Simple asymmetric dolphin model.,Easy,7 min.
https://origami-database.com/wp-content/uploads/DSC02261-export-900x900.jpg,Frog,"Boxy, three-dimentional frog model.",Moderate,22 min.
https://origami-database.com/wp-content/uploads/DSC02264-export-900x900.jpg,Whale,"Simple, abstract long whale model.",Easy,4 min.
https://origami-database.com/wp-content/uploads/DSC02275-export-900x900.jpg,Gorilla,Ape model with distinctive pose.,Moderate,11 min.
https://origami-database.com/wp-content/uploads/DSC02253-export-900x900.jpg,Archaeopteryx,Bird-like dinosaur model with open beak and pronounced eye.,Moderate,13 min.
https://origami-database.com/wp-content/uploads/DSC02277-export-900x900.jpg,Elephant,Abstract elephant model without thusks.,Moderate,8 min.
https://origami-database.com/wp-content/uploads/DSC02242-export-900x900.jpg,Mr.Poo,Stylized pile of feces with eyes and mouth.,Easy,9 min.
